Lemma,Gender,Nom_Sg,Gen_Sg,Acc_Sg,Voc_Sg,Nom_Pl,Gen_Pl,Acc_Pl,Voc_Pl
αγωγή,Fem,αγωγή,αγωγής,αγωγή,αγωγή,αγωγές,αγωγών,αγωγές,αγωγές
αγωγός,Masc,αγωγός,αγωγού,αγωγό,αγωγέ,αγωγοί,αγωγών,αγωγούς,αγωγοί
αγωνία,Fem,αγωνία,αγωνίας,αγωνία,αγωνία,αγωνίες,αγωνιών,αγωνίες,αγωνίες
αγωνιστής,Masc,αγωνιστής,αγωνιστή,αγωνιστή,αγωνιστή,αγωνιστές,αγωνιστών,αγωνιστές,αγωνιστές
αγόρι,Neut,αγόρι,αγοριού,αγόρι,αγόρι,αγόρια,αγοριών,αγόρια,αγόρια
αγώνας,Masc,αγώνας,αγώνα,αγώνα,αγώνα,αγώνες,αγώνων,αγώνες,αγώνες
αγώνισμα,Neut,αγώνισμα,αγωνίσματος,αγώνισμα,αγώνισμα,αγωνίσματα,αγωνισμάτων,αγωνίσματα,αγωνίσματα
αδέλφια,Neut,,,,,αδέλφια,αδελφιών,αδέλφια,αδέλφια
αδένας,Masc,αδένας,αδένα,αδένα,αδένα,αδένες,αδένων,αδένες,αδένες
αδίκημα,Neut,αδίκημα,αδικήματος,αδίκημα,αδίκημα,αδικήματα,αδικημάτων,αδικήματα,αδικήματα
αδελφή,Fem,αδελφή,αδελφής,αδελφή,αδελφή,αδελφές,αδελφών,αδελφές,αδελφές
αδελφός,Masc,αδελφός,αδελφού,αδελφό,αδελφέ,αδελφοί,αδελφών,αδελφούς,αδελφοί
αδιαφορία,Fem,αδιαφορία,αδιαφορίας,αδιαφορία,αδιαφορία,αδιαφορίες,αδιαφοριών,αδιαφορίες,αδιαφορίες
αδικία,Fem,αδικία,αδικίας,αδικία,αδικία,αδικίες,αδικιών,αδικίες,αδικίες
αδυναμία,Fem,αδυναμία,αδυναμίας,αδυναμία,αδυναμία,αδυναμίες,αδυναμιών,αδυναμίες,αδυναμίες
αεροδρόμιο,Neut,αεροδρόμιο,αεροδρόμιου,αεροδρόμιο,αεροδρόμιο,αεροδρόμια,αεροδρομίων,αεροδρόμια,αεροδρόμια
αερολιμένας,Masc,αερολιμένας,αερολιμένα,αερολιμένα,αερολιμένα,αερολιμένες,αερολιμένων,αερολιμένες,αερολιμένες
αεροπλάνο,Neut,αεροπλάνο,αεροπλάνου,αεροπλάνο,αεροπλάνο,αεροπλάνα,αεροπλάνων,αεροπλάνα,αεροπλάνα
αεροπορία,Fem,αεροπορία,αεροπορίας,αεροπορία,αεροπορία,αεροπορίες,αεροποριών,αεροπορίες,αεροπορίες
αεροσκάφος,Neut,αεροσκάφος,αεροσκάφους,αεροσκάφος,αεροσκάφος,αεροσκάφη,αεροσκαφών,αεροσκάφη,αεροσκάφη
αετός,Masc,αετός,αετού,αετό,αετέ,αετοί,αετών,αετούς,αετοί
αθάνατος,Masc,αθάνατος,αθανάτου,αθάνατο,αθάνατε,αθάνατοι,αθανάτων,αθανάτους,αθάνατοι
αθέτηση,Fem,αθέτηση,αθέτησης,αθέτηση,αθέτηση,αθετήσεις,αθετήσεων,αθετήσεις,αθετήσεις
αθλητής,Masc,αθλητής,αθλητή,αθλητή,αθλητή,αθλητές,αθλητών,αθλητές,αθλητές
αθλητισμός,Masc,αθλητισμός,αθλητισμού,αθλητισμό,αθλητισμέ,αθλητισμοί,αθλητισμών,αθλητισμούς,αθλητισμοί
αιθέρας,Masc,αιθέρας,αιθέρα,αιθέρα,αιθέρα,αιθέρες,αιθέρων,αιθέρες,αιθέρες
αιμορραγία,Fem,αιμορραγία,αιμορραγίας,αιμορραγία,αιμορραγία,αιμορραγίες,αιμορραγιών,αιμορραγίες,αιμορραγίες
αισθητική,Fem,αισθητική,αισθητικής,αισθητική,αισθητική,αισθητικές,αισθητικών,αισθητικές,αισθητικές
αισθητικός,Masc,αισθητικός,αισθητικού,αισθητικό,αισθητικέ,αισθητικοί,αισθητικών,αισθητικούς,αισθητικοί
αισιοδοξία,Fem,αισιοδοξία,αισιοδοξίας,αισιοδοξία,αισιοδοξία,,,,
αισιόδοξος,Masc,αισιόδοξος,αισιόδοξου,αισιόδοξο,αισιόδοξε,αισιόδοξοι,αισιόδοξων,αισιόδοξους,αισιόδοξοι
αιτία,Fem,αιτία,αιτίας,αιτία,αιτία,αιτίες,αιτιών,αιτίες,αιτίες
αιτιολογία,Fem,αιτιολογία,αιτιολογίας,αιτιολογία,αιτιολογία,αιτιολογίες,αιτιολογιών,αιτιολογίες,αιτιολογίες
αιτιολόγηση,Fem,αιτιολόγηση,αιτιολόγησης,αιτιολόγηση,αιτιολόγηση,αιτιολογήσεις,αιτιολογήσεων,αιτιολογήσεις,αιτιολογήσεις
αιτών,Masc,αιτών,αιτώνος,αιτώνα,αιτών,αιτώνες,αιτώνων,αιτώνες,αιτώνες
